idx,arquivo,ref_idx,mse_gray_ref,ssim_gray_ref,ssim_color_ref,mse_gray_prev,ssim_gray_prev,lap_var
286,frame_000388.jpg,18,0.11451296508312225,0.14556397087438977,0.1381424218416214,0.018058836460113525,0.3938891244519898,1294.8698478285382
287,frame_000389.jpg,18,0.10998179018497467,0.15173656143773415,0.14315132796764374,0.014330454170703888,0.5703229673853281,1485.8117336649498
288,frame_000390.jpg,18,0.11827223002910614,0.1478866983259147,0.14102087914943695,0.029039422050118446,0.3107189324530094,1459.052536638989
289,frame_000391.jpg,18,0.11919458210468292,0.1268392237937832,0.1220526322722435,0.00705965468659997,0.7082781045743318,1544.2732997741907
290,frame_000392.jpg,18,0.11800332367420197,0.11414141247721929,0.1084696352481842,0.004315847065299749,0.833781935376953,1470.0499943959458
291,frame_000393.jpg,18,0.11883454024791718,0.11424493935845564,0.10991700738668442,0.00329889846034348,0.8772832831955151,1620.1692827544039
292,frame_000394.jpg,18,0.10452529788017273,0.18656774530523007,0.178656205534935,0.03570679575204849,0.3702727811646022,1522.3734464110382
293,frame_000395.jpg,18,0.10693587362766266,0.1931261567919812,0.18719594180583954,0.005946372170001268,0.7719614084751988,1498.2118306082862
294,frame_000396.jpg,18,0.11191095411777496,0.11606323804846504,0.10790994763374329,0.0083917286247015,0.6978700291724313,1545.046451207934
295,frame_000397.jpg,18,0.11459416151046753,0.10885971878904474,0.10002709180116653,0.0013292927760630846,0.9374749735308597,1865.307870254219
296,frame_000398.jpg,18,0.11609241366386414,0.10664974933170851,0.09845314174890518,0.019758211448788643,0.6030002812061191,1617.1323877775844
297,frame_000399.jpg,18,0.1149754673242569,0.11175916189919322,0.10330140590667725,0.008215779438614845,0.7450250747495553,1705.9524241480715
298,frame_000400.jpg,18,0.11451937258243561,0.12004436384518506,0.11164424568414688,0.0018204298103228211,0.9242217585903699,1718.920695339237
299,frame_000401.jpg,18,0.11500447988510132,0.10545095263389136,0.09765031188726425,0.0035689002834260464,0.8415742060397866,1774.9034968534932
300,frame_000402.jpg,18,0.11333636939525604,0.10599284081098807,0.0979873463511467,0.0013320115394890308,0.938488182758943,1664.29471123974
301,frame_000403.jpg,18,0.1139218658208847,0.09411652926430875,0.08616084605455399,0.0034339511767029762,0.8513453686927754,1704.8490809489992
302,frame_000404.jpg,18,0.11356305330991745,0.09709091517442697,0.089162178337574,0.002621621824800968,0.9002349834297693,1592.2869557090862
303,frame_000405.jpg,18,0.11471553146839142,0.09751648256363711,0.09042537212371826,0.00694916071370244,0.7564820870316386,1749.3535463110134
304,frame_000406.jpg,18,0.11354728788137436,0.11300184524186571,0.10569832473993301,0.008108370006084442,0.7632944174888472,1789.513357572138
305,frame_000407.jpg,18,0.11322306096553802,0.12532156505649544,0.11879292130470276,0.006378509104251862,0.7704312786001263,1645.8272708183144
306,frame_000408.jpg,18,0.11449453979730606,0.12472592355000042,0.11796309798955917,0.004234964028000832,0.8457746075108403,1647.2950457730187
307,frame_000409.jpg,18,0.11606771498918533,0.1360666293031137,0.12969310581684113,0.007822277024388313,0.7499991171118755,1708.7955325109572
308,frame_000410.jpg,18,0.10629570484161377,0.16321851380175212,0.15573787689208984,0.02307926118373871,0.49069483127559965,1621.1169420862102
309,frame_000411.jpg,18,0.108009472489357,0.14204436951443122,0.13504602015018463,0.02470717951655388,0.36596443483246555,1867.5942213414912
310,frame_000412.jpg,18,0.10627467185258865,0.13568939131446975,0.1279134303331375,0.012426497414708138,0.549995070967824,1667.7892034203594
311,frame_000413.jpg,18,0.1188344657421112,0.19179903378147933,0.18373145163059235,0.013300045393407345,0.6591609580434771,1801.969602774835
312,frame_000414.jpg,18,0.11913371086120605,0.18773567347796075,0.18058548867702484,0.014636670239269733,0.5694774869550568,1745.5328722417719
313,frame_000415.jpg,18,0.12537677586078644,0.1827189336555064,0.17623668909072876,0.0013779336586594582,0.9354950268640008,1967.7519588993844
314,frame_000416.jpg,18,0.127592533826828,0.13690834892424403,0.13253715634346008,0.0162974800914526,0.4713384032791506,1914.4021962684856
315,frame_000417.jpg,18,0.13133090734481812,0.11140935741259696,0.10412903875112534,0.025718040764331818,0.3392263528940125,2004.612243177818
316,frame_000418.jpg,18,0.12901970744132996,0.09020003154745054,0.08314972370862961,0.011939887888729572,0.5949457617429582,1824.6943329484702
317,frame_000419.jpg,18,0.12908877432346344,0.1274558766898914,0.12060179561376572,0.004603284411132336,0.7871478427050618,1799.675952690284
